"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"2","Ambalapuzha BPHCArea","2014-15",1,"1940","1747","1903",90.1,98.1,"1834","1135",94.5,58.5,"1926",99.3,"57","0",0,1.9,2,1,1,50,0,0,"0",0,NA,"148",7.6,"150",98.7,99.3,1.3,"0","71",48,NA,48,0,NA,NA,100,"196","1275",130.7,850,"148",98.7,2,98.7,"148",100,"10",6.8
"3","Arookutty CHCArea","2014-15",1,"1551","1389","1174",89.6,75.7,"1383","666",89.2,42.9,"1453",93.7,"45","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"6","1248",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"4","Chempumpuram CHCArea","2014-15",1,"1521","1281","1166",84.2,76.7,"1426","750",93.8,49.3,"1491",98,"211","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"164",10.8,"164",100,100,0,"0","66",40.2,NA,40.2,0,NA,NA,100,"164","1426",100,869.5,"167",101.8,0,100,"167",100,"18",10.8
"5","Chettikkad CHCArea","2014-15",1,"1786","1648","1782",92.3,99.8,"1747","967",97.8,54.1,"1735",97.1,"10","0",0,0.3,1,0,1,0,0,0,"1",1,100,"1",0.1,"2",50,50,50,"0","0",0,0,NA,100,0,0,0,"0","1556",0,7800,"1",50,0,100,"1",100,"1",100
"6","Chunakara CHCArea","2014-15",1,"2100","1697","1034",80.8,49.2,"2113","1426",100.6,67.9,"2901",138.1,"12","0",0,0.9,1,1,0,100,0,0,"0",0,NA,"762",36.3,"763",99.9,100,0.1,"0","478",62.7,NA,62.7,0,NA,NA,100,"624","1934",81.8,253.5,"770",100.9,2,99.7,"705",91.6,"0",0
"7","Kurathikad CHC Area","2014-15",1,"1405","1104","780",78.6,55.5,"1288","544",91.7,38.7,"1401",99.7,"1","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"1","1239",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"8","Medical College Hospital Alappuzha","2014-15",1,"786","292","0",37.2,0,"400","241",50.9,30.7,"3198",406.9,"90","13",14.4,37.7,NA,NA,NA,NA,NA,NA,"0",0,NA,"368",46.8,"368",100,100,0,"0","198",53.8,NA,53.8,0,NA,NA,100,"346","273",94,74.2,"368",100,1,99.7,"368",100,"15",4.1
"9","Muhama CHC Area","2014-15",1,"2014","1803","1404",89.5,69.7,"1813","1407",90,69.9,"1925",95.6,"42","0",0,1.7,1,1,0,100,0,0,"0",0,NA,"1835",91.1,"1836",99.9,100,0.1,"0","1152",62.8,NA,62.8,0,NA,NA,100,"1420","2819",77.3,153.5,"1864",101.5,2,99.9,"1864",100,"141",7.6
"10","Muthukulam CHC Area","2014-15",1,"2113","1789","1198",84.7,56.7,"1907","853",90.3,40.4,"2099",99.3,"13","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1809",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"11","PP Unit Alappuzha","2014-15",1,"744","549","710",73.8,95.4,"750","613",100.8,82.4,"0",0,"15","14",93.3,37,NA,NA,NA,NA,NA,NA,"4564",0,0,"4564",613.4,"4564",100,100,0,"1772",NA,38.8,38.8,NA,100,33.2,0,0,"3667","1785",80.3,39.1,"4632",101.5,0,100,"4632",100,"882",19
"12","Pandanad CHC Area","2014-15",1,"1906","1449","999",76,52.4,"1818","1745",95.4,91.6,"1786",93.7,"8","0",0,0.4,2,0,2,0,0,0,"0",2,NA,"567",29.7,"569",99.6,99.6,0.4,"0","382",67.4,NA,67.4,0,NA,NA,100,"349","1966",61.3,345.5,"567",99.6,1,99.8,"567",100,"22",3.9
"13","THQH Chenganoor","2014-15",1,"222","164","159",73.9,71.6,"215","335",96.8,150.9,"359",161.7,"25","2",8,14,NA,NA,NA,NA,NA,NA,"312",0,0,"475",214,"475",100,100,0,"148","121",56.6,47.4,74.2,65.7,14.7,0,34.3,"460","258",96.8,54.3,"476",100.2,0,100,"476",100,"29",6.1
"14","THQH Cherthala","2014-15",1,"427","372","232",87.1,54.3,"414","1174",97,274.9,"359",84.1,"39","3",7.7,2.6,NA,NA,NA,NA,NA,NA,"1420",0,0,"2517",589.5,"2517",100,100,0,"642","619",50.1,45.2,56.4,56.4,81.2,0.9,43.6,"1131","751",44.9,29.8,"2519",100.1,4,99.8,"2519",100,"173",6.9
"15","THQH Haripad","2014-15",1,"39","31","23",79.5,59,"40","94",102.6,241,"41",105.1,"135","0",0,15.4,NA,NA,NA,NA,NA,NA,"876",0,0,"876",2246.2,"876",100,100,0,"597",NA,68.2,68.2,NA,100,4.7,2.4,0,"876","597",100,68.2,"877",100.1,0,100,"877",100,"61",7
"16","THQH Kayamkulam","2014-15",1,"801","505","452",63,56.4,"769","2247",96,280.5,"2021",252.3,"7","0",0,0.2,NA,NA,NA,NA,NA,NA,"573",0,0,"3339",416.9,"3339",100,100,0,"339","1171",45.2,59.2,42.3,17.2,41.9,2.6,82.8,"3340","1515",100,45.4,"3355",100.5,1,100,"3355",100,"363",10.8
"17","THQH Mavelikkara","2014-15",1,"192","126","71",65.6,37,"178","847",92.7,441.1,"670",349,"95","1",1.1,134.4,NA,NA,NA,NA,NA,NA,"426",0,0,"1317",685.9,"1317",100,100,0,"259","604",65.5,60.8,67.8,32.3,58.2,5.4,67.7,"1317","857",100,65.1,"1320",100.2,2,99.8,"1320",100,"99",7.5
"18","THQH Pulinkunnu","2014-15",1,"44","32","42",72.7,95.5,"45","39",102.3,88.6,"59",134.1,"10","0",0,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2","32",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"19","Thrikkunnapuzha CHC Area","2014-15",1,"2090","1774","1546",84.9,74,"2072","2491",99.1,119.2,"1994",95.4,"311","0",0,3.9,0,0,0,NA,0,NA,"0",0,NA,"302",14.4,"302",100,100,0,"0","205",67.9,NA,67.9,0,NA,NA,100,"329","1839",108.9,608.9,"305",101,0,100,"305",100,"11",3.6
"20","Thuravoor CHC Area","2014-15",1,"2550","2215","1784",86.9,70,"2297","1302",90.1,51.1,"2403",94.2,"43","0",0,1.1,2,1,1,50,0,0,"0",0,NA,"0",0,"2",0,50,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"1","1925",50,6250,"2",100,0,100,"2",100,"1",50
"21","Veliyanad CHC Area","2014-15",1,"1011","867","641",85.8,63.4,"943","658",93.3,65.1,"976",96.5,"8","0",0,0.7,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","861",0,6100,"0",0,0,NA,"0",NA,"0",NA
"22","W and C Hospital Alappuzha","2014-15",1,"1124","753","877",67,78,"1083","943",96.4,83.9,"1042",92.7,"1961","23",1.2,25.4,NA,NA,NA,NA,NA,NA,"2128",0,0,"2128",189.3,"2128",100,100,0,"1148",NA,53.9,53.9,NA,100,48.8,1.2,0,"2000","1897",94,89.1,"2123",99.8,7,99.7,"2123",100,"275",13
"24","Ankamaly BPHCArea","2014-15",2,"2,457","1,965","490",80,19.9,"2,128","1,309",86.6,53.3,"1,403",57.1,"5","0",0,0.5,0,0,0,NA,0,NA,"1",0,0,"1,999",81.4,"1,999",100,100,0,"0","1,328",66.4,0,66.5,0.1,400,0,99.9,"1,997","2,638",99.9,132,"2,001",100.1,1,100,"2,001",100,"165",8.2
"25","Chengamanad CHCArea","2014-15",2,"1,951","1,637","644",83.9,33,"1,643","683",84.2,35,"1,740",89.2,"177","2",1.1,1.6,1,0,1,0,0,0,"0",0,NA,"308",15.8,"309",99.7,99.7,0.3,"0","179",58.1,NA,58.1,0,NA,NA,100,"309","1,785",100,577.7,"309",100,1,99.7,"309",100,"42",13.6
"26","Cheranalloor BPHCArea","2014-15",2,"2,048","1,264","239",61.7,11.7,"1,935","963",94.5,47,"1,786",87.2,"12","0",0,0.2,2,1,1,50,0,0,"0",0,NA,"1,612",78.7,"1,614",99.9,99.9,0.1,"0","1,052",65.3,NA,65.3,0,NA,NA,100,"1,614","3,102",100,192.2,"1,724",106.8,3,99.8,"1,724",100,"525",30.5
"27","Ezhikkara CHCArea","2014-15",2,"1,810","1,581","614",87.3,33.9,"1,606","1,178",88.7,65.1,"1,698",93.8,"9","0",0,1.2,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"2","1,607",100,350,"2",100,0,100,"2",100,"1",50
"28","GH Ernakulam","2014-15",2,"2,257","1,460","216",64.7,9.6,"1,982","6,093",87.8,270,"2,317",102.7,"1,334","54",4,5.5,NA,NA,NA,NA,NA,NA,"2,774",0,0,"9,271",410.8,"9,271",100,100,0,"1,271","3,454",51,45.8,53.2,29.9,9,0,70.1,"9,271","3,216",100,34.7,"9,326",100.6,19,99.8,"9,326",100,"1,071",11.5
"29","Kalady CHCArea","2014-15",2,"1,309","1,069","384",81.7,29.3,"1,200","290",91.7,22.2,"1,289",98.5,"3","0",0,0.5,1,0,1,0,0,0,"0",0,NA,"55",4.2,"56",98.2,98.2,1.8,"0","37",67.3,NA,67.3,0,NA,NA,100,"56","1,171",100,2091.1,"55",98.2,1,98.2,"55",100,"9",16.4
"30","Keechery CHCArea","2014-15",2,"1,661","1,436","389",86.5,23.4,"1,536","617",92.5,37.1,"1,551",93.4,"12","1",8.3,1,1,1,0,100,0,0,"0",0,NA,"253",15.2,"254",99.6,100,0.4,"0","154",60.9,NA,60.9,0,NA,NA,100,"253","1,540",99.6,606.3,"256",100.8,0,100,"256",100,"12",4.7
"31","Kumbalangi CHCArea","2014-15",2,"825","758","447",91.9,54.2,"780","360",94.5,43.6,"803",97.3,"13","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","674",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"32","Malayidamthuruth BPHCArea","2014-15",2,"3,722","3,243","599",87.1,16.1,"3,613","1,002",97.1,26.9,"3,624",97.4,"4","0",0,0.3,4,0,4,0,0,0,"0",0,NA,"1,186",31.9,"1,190",99.7,99.7,0.3,"0","608",51.3,NA,51.3,0,NA,NA,100,"1,194","4,012",100.3,337.1,"1,197",100.6,2,99.8,"1,197",100,"15",1.3
"33","Malippuram CHCArea","2014-15",2,"2,334","2,127","1,125",91.1,48.2,"2,145","855",91.9,36.6,"2,248",96.3,"20","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"152",6.5,"152",100,100,0,"0","105",69.1,NA,69.1,0,NA,NA,100,"152","1,224",100,805.3,"153",100.7,0,100,"153",100,"0",0
"34","Nettoor BPHCArea","2014-15",2,"870","703","230",80.8,26.4,"844","250",97,28.7,"966",111,"29","0",0,3.2,0,0,0,NA,0,NA,"0",0,NA,"245",28.2,"245",100,100,0,"0","163",66.5,NA,66.5,0,NA,NA,100,"258","678",105.3,276.7,"248",101.2,0,100,"248",100,"30",12.1
"35","Pallarimangalam BPHCArea","2014-15",2,"1,049","882","465",84.1,44.3,"1,051","859",100.2,81.9,"912",86.9,"36","0",0,2.6,0,0,0,NA,0,NA,"0",0,NA,"22",2.1,"22",100,100,0,"0","10",45.5,NA,45.5,0,NA,NA,100,"24","907",109.1,4122.7,"22",100,0,100,"22",100,"4",18.2
"36","Pampakkuda BPHCArea","2014-15",2,"902","754","341",83.6,37.8,"897","592",99.4,65.6,"878",97.3,"3","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"308",34.1,"308",100,100,0,"0","153",49.7,NA,49.7,0,NA,NA,100,"308","754",100,244.8,"308",100,2,99.4,"308",100,"39",12.7
"37","Pandappilly BPHCArea","2014-15",2,"2,116","1,680","818",79.4,38.7,"1,906","1,787",90.1,84.5,"2,256",106.6,"7","0",0,0.6,0,0,0,NA,0,NA,"0",2,NA,"842",39.8,"842",100,100,0,"0","647",76.8,NA,76.8,0,NA,NA,100,"842","1,877",100,222.9,"893",106.1,2,99.8,"893",100,"96",10.8
"38","Pizhala BPHCArea","2014-15",2,"400","302","113",75.5,28.3,"357","79",89.3,19.8,"323",80.8,"27","0",0,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","296",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"39","Ramamangalam BPHCArea","2014-15",2,"646","575","230",89,35.6,"607","270",94,41.8,"604",93.5,"10","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"54",8.4,"54",100,100,0,"0","40",74.1,NA,74.1,0,NA,NA,100,"48","548",88.9,1014.8,"54",100,1,98.2,"54",100,"6",11.1
"40","THQH Aluva","2014-15",2,"202","170","89",84.2,44.1,"207","3,213",102.5,1590.6,"131",64.9,"219","13",5.9,27.2,0,0,0,NA,0,NA,"1,667",0,0,"4,580",2267.3,"4,580",100,100,0,"1,149","1,405",55.8,68.9,48.2,36.4,37.9,0,63.6,"4,580","3,265",100,71.3,"4,613",100.7,5,99.9,"4,613",100,"459",10
"41","THQH Kochi","2014-15",2,"160","136","0",85,0,"232","162",145,101.3,"196",122.5,"47","0",0,1.9,NA,NA,NA,NA,NA,NA,"120",0,0,"120",75,"120",100,100,0,"70",NA,58.3,58.3,NA,100,85.8,0,0,"120","163",100,135.8,"120",100,0,100,"120",100,"7",5.8
"42","THQH Kothamangalam","2014-15",2,"474","390","113",82.3,23.8,"416","1,848",87.8,389.9,"558",117.7,"21","0",0,2.7,NA,NA,NA,NA,NA,NA,"197",0,0,"3,073",648.3,"3,073",100,100,0,"131","1,018",37.4,66.5,35.4,6.4,82.7,0,93.6,"3,073","411",100,13.4,"3,097",100.8,3,99.9,"3,097",100,"176",5.7
"43","THQH Muvatupuzha","2014-15",2,"372","299","327",80.4,87.9,"371","413",99.7,111,"315",84.7,"15","0",0,3.2,0,0,0,NA,0,NA,"288",0,0,"1,134",304.8,"1,134",100,100,0,"203","601",70.9,70.5,71,25.4,21.2,0,74.6,"1,134","1,031",100,90.9,"1,142",100.7,1,99.9,"1,142",100,"63",5.5
"44","THQH N Paravur","2014-15",2,"322","274","64",85.1,19.9,"309","1,192",96,370.2,"343",106.5,"353","8",2.3,24.2,0,0,0,NA,0,NA,"652",0,0,"2,114",656.5,"2,114",100,100,0,"441","966",66.6,67.6,66.1,30.8,60.9,2.1,69.2,"2,113","1,829",100,86.5,"2,125",100.5,2,99.9,"2,125",100,"102",4.8
"45","THQH Perumbavoor","2014-15",2,"128","78","17",60.9,13.3,"120","739",93.8,577.3,"144",112.5,"143","3",2.1,5.5,NA,NA,NA,NA,NA,NA,"333",0,0,"1,707",1333.6,"1,707",100,100,0,"161","811",56.9,48.3,59,19.5,67.6,0,80.5,"1,707","477",100,27.9,"1,708",100.1,4,99.8,"1,708",100,"88",5.2
"46","THQH Piravom","2014-15",2,"0","0","0",NA,NA,"0","16",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"47","THQH Tripunitura","2014-15",2,"527","411","110",78,20.9,"488","1,186",92.6,225,"523",99.2,"2","0",0,0.2,NA,NA,NA,NA,NA,NA,"525",0,0,"1,951",370.2,"1,951",100,100,0,"297","933",63,56.6,65.4,26.9,66.5,6.9,73.1,"1,916","1,143",98.2,58.6,"1,957",100.3,0,100,"1,957",100,"88",4.5
"48","Vadavucode CHCArea","2014-15",2,"2,011","1,630","558",81.1,27.7,"1,940","855",96.5,42.5,"2,042",101.5,"533","0",0,12.1,2,1,1,50,0,0,"0",0,NA,"2,737",136.1,"2,739",99.9,100,0.1,"0","1,114",40.7,NA,40.7,0,NA,NA,100,"2,743","3,725",100.1,136,"2,780",101.5,23,99.2,"2,780",100,"508",18.3
"49","Varappetty BPHCArea","2014-15",2,"1,886","1,604","680",85,36.1,"1,791","812",95,43.1,"1,828",96.9,"12","0",0,0.9,13,0,13,0,0,0,"0",0,NA,"0",0,"13",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"12","1,686",92.3,2969.2,"13",100,2,86.7,"13",100,"6",46.2
"50","Varappuzha BPHCArea","2014-15",2,"2,476","2,051","744",82.8,30,"2,226","1,025",89.9,41.4,"2,338",94.4,"21","0",0,0.7,1,0,1,0,0,0,"0",0,NA,"752",30.4,"753",99.9,99.9,0.1,"0","392",52.1,NA,52.1,0,NA,NA,100,"763","2,205",101.3,292.8,"757",100.5,0,100,"757",100,"104",13.7
"51","Vengoor BPHCArea","2014-15",2,"2,012","1,752","674",87.1,33.5,"1,890","716",93.9,35.6,"1,946",96.7,"6","0",0,0.2,2,0,2,0,0,0,"0",0,NA,"343",17,"345",99.4,99.4,0.6,"0","149",43.4,NA,43.4,0,NA,NA,100,"345","1,807",100,523.8,"344",99.7,1,99.7,"344",100,"15",4.4
"52","W and C Mattanchery","2014-15",2,"1,457","918","33",63,2.3,"1,317","1,710",90.4,117.4,"1,434",98.4,"915","30",3.3,0.2,1,0,1,0,0,0,"419",1,0.2,"2,216",152.1,"2,217",100,100,0,"215","903",50.5,51.3,50.3,18.9,78,0,81.1,"2,215","1,086",99.9,49,"2,226",100.4,1,100,"2,226",100,"271",12.2
"54","Chithirapuram CHCArea","2014-15",3,"2,700","2,286","1,978",84.7,73.3,"2,671","1,507",98.9,55.8,"2,577",95.4,"449","9",2,7.7,56,1,55,1.8,2,3.6,"0",0,NA,"710",26.3,"766",92.7,92.8,7.3,"0","361",50.8,NA,50.8,0,NA,NA,100,"785","2,920",102.5,381.2,"759",99.1,11,98.6,"759",100,"199",26.2
"55","DH Idukki","2014-15",3,"0","0","0",NA,NA,"0","0",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"656",6,0.9,"656",NA,"656",100,100,0,"376",NA,57.3,57.3,NA,100,0,0,0,"633","242",96.5,36.9,"655",99.8,3,99.5,"655",100,"74",11.3
"56","Muttom CHCArea","2014-15",3,"2,359","2,054","1,289",87.1,54.6,"2,022","735",85.7,31.2,"2,091",88.6,"157","0",0,0.1,2,1,1,50,0,0,"0",0,NA,"56",2.4,"58",96.6,98.3,3.4,"0","26",46.4,NA,46.4,0,NA,NA,100,"99","1,747",170.7,3012.1,"57",98.3,1,98.3,"56",98.2,"12",21.4
"57","Pampadampara BPHC Area","2014-15",3,"1,340","1,147","552",85.6,41.2,"1,205","1,140",89.9,85.1,"1,341",100.1,"93","3",3.2,0.7,3,1,2,33.3,0,0,"0",3,NA,"560",41.8,"563",99.5,99.6,0.5,"0","343",61.3,NA,61.3,0,NA,NA,100,"516","1,244",91.7,221,"562",99.8,3,99.5,"562",100,"42",7.5
"58","Purapuzha CHC Area","2014-15",3,"1,025","875","466",85.4,45.5,"925","485",90.2,47.3,"955",93.2,"71","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"27","874",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"59","Rajakkadu CHC Area","2014-15",3,"1,129","974","724",86.3,64.1,"936","651",82.9,57.7,"1,010",89.5,"25","0",0,0.2,3,1,2,33.3,0,0,"0",0,NA,"9",0.8,"12",75,83.3,25,"0","6",66.7,NA,66.7,0,NA,NA,100,"27","859",225,7158.3,"11",91.7,0,100,"11",100,"1",9.1
"60","THQH Adimaly","2014-15",3,"15","13","9",86.7,60,"15","574",100,3826.7,"649",4326.7,"791","23",2.9,906.7,NA,NA,NA,NA,NA,NA,"1,686",0,0,"2,232",4880,"2,232",100,100,0,"732","270",44.9,43.4,49.5,75.5,50.4,0,24.5,"2,234","1",100.1,0,"2,242",100.4,9,99.6,"2,242",100,"352",15.7
"61","THQH Nedumkandom","2014-15",3,"40","26","16",65,40,"35","312",87.5,780,"77",192.5,"2","0",0,0,NA,NA,NA,NA,NA,NA,"45",2,4.4,"734",1835,"734",100,100,0,"19","342",49.2,42.2,49.6,6.1,240,0,93.9,"374","161",51,21.9,"738",100.5,1,99.9,"738",100,"128",17.3
"62","THQH Peerumedu","2014-15",3,"9","6","8",66.7,88.9,"20","41",222.2,455.6,"19",211.1,"18","0",0,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"3","23",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"63","THQH Thodupuzha","2014-15",3,"581","414","140",71.3,24.1,"501","3,072",86.2,528.7,"1,011",174,"2,127","27",1.3,52.3,NA,NA,NA,NA,NA,NA,"1,005",0,0,"4,858",836.1,"4,858",100,100,0,"469","1,961",50,46.7,50.9,20.7,30.4,3.5,79.3,"4,863","4,520",100.1,93,"4,911",101.1,12,99.8,"4,884",99.5,"493",10.1
"64","Upputhara CHC Area","2014-15",3,"2,945","2,485","1,428",84.4,48.5,"2,532","2,118",86,71.9,"2,304",78.2,"202","0",0,0.6,6,1,5,16.7,0,0,"0",0,NA,"1,848",62.8,"1,854",99.7,99.7,0.3,"0","862",46.6,NA,46.6,0,NA,NA,100,"1,847","4,151",99.6,223.9,"1,867",100.7,8,99.6,"1,867",100,"273",14.6
"65","Vandiperiyar CHC Area","2014-15",3,"1,979","1,792","1,320",90.6,66.7,"1,899","2,025",96,102.3,"2,142",108.2,"20","0",0,0.4,13,1,12,7.7,1,7.7,"0",1,NA,"854",43.2,"867",98.5,98.6,1.5,"0","411",48.1,NA,48.1,0,NA,NA,100,"864","1,645",99.7,189.7,"865",99.8,6,99.3,"862",99.7,"93",10.8
"67","Azhikode CHCArea","2014-15",4,"2,553","2,048","781",80.2,30.6,"2,383","2,728",93.3,106.9,"2,414",94.6,"197","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"1,191",46.7,"1,191",100,100,0,"0","746",62.6,NA,62.6,0,NA,NA,100,"1,192","1,803",100.1,151.4,"1,204",101.1,2,99.8,"1,204",100,"206",17.1
"68","Chittariparamba PHCArea","2014-15",4,"2,108","1,762","843",83.6,40,"2,099","1,153",99.6,54.7,"2,057",97.6,"149","46",30.9,0.9,0,0,0,NA,0,NA,"0",0,NA,"953",45.2,"953",100,100,0,"0","343",36,NA,36,0,NA,NA,100,"951","1,957",99.8,205.4,"953",100,4,99.6,"953",100,"41",4.3
"69","DH Kannur","2014-15",4,"719","548","328",76.2,45.6,"697","1,441",96.9,200.4,"675",93.9,"221","43",19.5,42.7,NA,NA,NA,NA,NA,NA,"3,458",0,0,"10,863",1510.8,"10,863",100,100,0,"1,898","3,023",45.3,54.9,40.8,31.8,54.6,3.3,68.2,"10,855","6,440",99.9,59.3,"10,866",100,26,99.8,"10,869",100,"648",6
"70","Ezhome PHCArea","2014-15",4,"2,421","2,082","608",86,25.1,"2,518","1,576",104,65.1,"2,608",107.7,"29",NA,0,0.8,1,0,1,0,0,0,"0",0,NA,"1,689",69.8,"1,690",99.9,99.9,0.1,"0","558",33,NA,33,0,NA,NA,100,"1,689","2,022",99.9,119.6,"1,681",99.5,9,99.5,"1,681",100,"185",11
"71","GH Thalassery","2014-15",4,"548","442","74",80.7,13.5,"477","3,955",87,721.7,"454",82.8,"31","0",0,1.8,NA,NA,NA,NA,NA,NA,"4,220",0,0,"11,894",2170.4,"11,894",100,100,0,"2,060","3,943",50.5,48.8,51.4,35.5,69.7,0,64.5,"11,893","7,701",100,64.7,"11,897",100,38,99.7,"11,897",100,"1,152",9.7
"72","Iritty CHCArea","2014-15",4,"4,872","4,121","2,052",84.6,42.1,"4,693","3,451",96.3,70.8,"4,793",98.4,"36","0",0,0.3,2,1,1,50,0,0,"2",0,0,"2,128",43.7,"2,130",99.9,100,0.1,"0","836",39.3,0,39.3,0.1,0,0,99.9,"2,132","3,718",100.1,174.6,"2,130",100,4,99.8,"2,130",100,"123",5.8
"73","Iriveri CHCArea","2014-15",4,"4,609","3,822","1,148",82.9,24.9,"4,352","3,071",94.4,66.6,"4,482",97.2,"60","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"314",6.8,"314",100,100,0,"0","123",39.2,NA,39.2,0,NA,NA,100,"314","2,831",100,901.6,"315",100.3,1,99.7,"315",100,"17",5.4
